Date,Open,High,Low,Close,Volume
12/07/2017,66.080002,66.620003,64.900002,65.903999,51730500
13/07/2017,66.022003,66.32,63.993999,64.681999,42972500
14/07/2017,64.638,65.683998,64.244003,65.556,28126000
17/07/2017,65.108002,65.419998,62.689999,63.914001,49384500
18/07/2017,63.5,65.825996,63.132,65.648003,31868500
19/07/2017,65.646004,66.330002,64.643997,65.052002,31785000
20/07/2017,65.379997,66.043999,64.839996,65.984001,25831000
21/07/2017,65.891998,66.251999,65.160004,65.68,24508000
24/07/2017,66.047997,68.68,66.001999,68.503998,43185500
25/07/2017,69,69.120003,66.830002,67.919998,34946000
26/07/2017,68.071999,69.099998,67.624001,68.769997,24104000
27/07/2017,69.199997,69.5,65.258003,66.891998,41512000
28/07/2017,67.377998,67.919998,66.501999,67.014,24402000
31/07/2017,67.099998,68.297997,64.208,64.694,42675500
01/08/2017,64.599998,64.889999,63.226002,63.914001,41515500
02/08/2017,63.787998,65.424004,62.243999,65.178001,65457500
03/08/2017,69.066002,70,68.629997,69.417999,67675000
04/08/2017,69.400002,71.454002,68.660004,71.382004,46344500
07/08/2017,71.470001,71.896004,70.550003,71.033997,31622500
08/08/2017,71.505997,73.716003,71.480003,73.043999,37249000
09/08/2017,72.199997,74,71.790001,72.706001,34460500
10/08/2017,72.32,73.330002,70.931999,71.080002,35464500
11/08/2017,71.393997,72.251999,70.723999,71.573997,21829000
14/08/2017,72.926003,73.531998,72.519997,72.760002,22596000
15/08/2017,73.040001,73.098,71.874001,72.466003,15425500
16/08/2017,72.599998,73.300003,72.503998,72.582001,17069000
17/08/2017,72.241997,72.660004,70.318001,70.384003,25138500
18/08/2017,70.582001,70.800003,69.160004,69.491997,27041000
21/08/2017,69.164001,69.164001,66.370003,67.571999,32477000
22/08/2017,68.225998,68.447998,67.473999,68.269997,21610000
23/08/2017,67.797997,70.697998,67.660004,70.554001,24772500
24/08/2017,70.503998,71.332001,69.947998,70.585999,22923500
25/08/2017,70.848,71.138,69.459999,69.610001,17420000
28/08/2017,69.456001,69.470001,67.944,69.132004,18820000
29/08/2017,67.896004,69.809998,67.75,69.472,20368500
30/08/2017,69.933998,70.694,69.400002,70.636002,17064500
31/08/2017,70.709999,71.688004,70.564003,71.18,20364000
01/09/2017,71.223999,71.517998,70.737999,71.080002,15247500
05/09/2017,70.760002,71.098,69.178001,69.917999,19175500
06/09/2017,69.900002,70.195999,68.311996,68.905998,20457000
07/09/2017,69.195999,70.496002,68.690002,70.122002,21196000
08/09/2017,69.797997,69.956001,68.459999,68.68,16317500
